record_id,train_number,train_name,origin_station_code,origin_station,destination_station_code,destination_station,journey_date,scheduled_departure,delay_minutes,train_status,delay_cause,passenger_count,occupancy_percent,platform_number,weather_condition,temperature_c,visibility_m,risk_score,risk_level,maintenance_flag,crowd_alert,anomaly_detected,eta_delay_minutes,recommended_action
1,12832,Vande Bharat,HWH,Howrah Junction,NDLS,New Delhi,2026-09-07,22:45,0,On Time,No Delay,1696,80,14,Clear,15,788,24,Low,0,1,0,1,Monitor
2,14536,Rajdhani,PUNE,Pune Junction,BBS,Bhubaneswar,2026-06-28,11:30,18,At Risk,Congestion,749,71,5,Rain,20,5814,29,Low,0,0,0,15,Monitor
3,14416,Intercity,BCT,Mumbai Central,BBS,Bhubaneswar,2026-04-28,03:45,0,On Time,No Delay,1467,54,7,Clear,36,1439,17,Low,0,0,0,2,Monitor
4,13121,Superfast,ADI,Ahmedabad Junction,BBS,Bhubaneswar,2026-07-09,20:15,0,On Time,No Delay,1617,55,3,Rain,33,3103,22,Low,0,1,1,2,Monitor
5,12705,Superfast,LKO,Lucknow Charbagh,BCT,Mumbai Central,2026-09-18,08:45,0,On Time,No Delay,1341,85,16,Clear,26,7817,26,Low,0,0,0,3,Monitor
6,13129,Duronto,GKP,Gorakhpur,BPL,Bhopal Junction,2026-08-17,08:00,10,Delayed,Track Obstruction,493,66,6,Rain,39,7216,29,Low,1,0,1,7,Monitor
7,12899,Superfast,HWH,Howrah Junction,GKP,Gorakhpur,2026-03-12,05:00,0,On Time,No Delay,1109,99,9,Clear,30,3227,33,Low,0,1,0,0,Monitor
8,14203,Shatabdi,KOTA,Kota Junction,LKO,Lucknow Charbagh,2026-02-25,17:15,0,Completed,No Delay,809,76,8,Fog,15,326,40,Medium,0,0,1,0,Notify station control
9,14422,Garib Rath,SDAH,Sealdah,PNBE,Patna Junction,2026-04-08,02:30,75,Delayed,Weather,1726,74,10,Storm,26,6418,66,High,0,1,1,84,Reallocate platform and crew
10,14430,Sampark Kranti,NDLS,New Delhi,KOTA,Kota Junction,2026-05-22,15:15,0,On Time,No Delay,1472,66,2,Clear,21,1404,20,Low,0,0,0,5,Monitor
11,14574,Express,ALD,Prayagraj Junction,SDAH,Sealdah,2026-01-13,23:30,0,On Time,No Delay,1013,78,14,Cloudy,25,7239,27,Low,0,0,0,9,Monitor
12,12625,Jan Shatabdi,HWH,Howrah Junction,ADI,Ahmedabad Junction,2026-02-25,07:15,75,Delayed,Maintenance Work,691,82,3,Clear,28,9316,53,Medium,0,0,1,71,Notify station control
13,14228,Intercity,NGP,Nagpur Junction,PNBE,Patna Junction,2026-03-07,09:15,999,Cancelled,Platform Change,723,99,10,Clear,27,9405,100,Critical,0,1,1,999,Escalate to operations command
14,14408,Superfast,BCT,Mumbai Central,KOTA,Kota Junction,2026-02-22,07:45,0,On Time,No Delay,1209,64,17,Cloudy,19,1231,24,Low,0,0,0,0,Monitor
15,12775,Sampark Kranti,HWH,Howrah Junction,KOTA,Kota Junction,2026-05-15,10:00,0,On Time,No Delay,1526,60,9,Clear,20,5447,21,Low,0,1,0,3,Monitor
16,14673,Shatabdi,NDLS,New Delhi,BBS,Bhubaneswar,2026-03-15,17:30,0,On Time,No Delay,723,66,5,Clear,43,6018,20,Low,0,0,0,2,Monitor
17,12086,Jan Shatabdi,KOTA,Kota Junction,PNBE,Patna Junction,2026-05-17,15:30,0,On Time,No Delay,455,73,18,Rain,18,4762,24,Low,0,0,0,1,Monitor
18,14036,Rajdhani,BCT,Mumbai Central,HWH,Howrah Junction,2026-02-03,22:15,0,On Time,No Delay,1484,100,9,Heavy Rain,19,7539,46,Medium,1,1,0,8,Notify station control
19,13175,Jan Shatabdi,ALD,Prayagraj Junction,BCT,Mumbai Central,2026-09-28,13:15,0,On Time,No Delay,811,52,2,Clear,42,6162,18,Low,0,0,0,2,Monitor
20,12553,Rajdhani,PUNE,Pune Junction,MAS,Chennai Central,2026-01-28,15:15,0,On Time,No Delay,1782,100,14,Heatwave,39,4365,31,Low,0,1,1,0,Monitor
21,13140,Vande Bharat,SBC,KSR Bengaluru City,BBS,Bhubaneswar,2026-05-06,18:30,0,On Time,No Delay,996,61,9,Rain,25,8646,22,Low,0,0,0,5,Monitor
22,14656,Superfast,BCT,Mumbai Central,SDAH,Sealdah,2026-01-17,17:15,40,At Risk,Late Incoming Train,416,100,13,Clear,42,9746,45,Medium,0,1,1,43,Notify station control
23,12286,Superfast,CNB,Kanpur Central,VSKP,Visakhapatnam,2026-07-22,23:15,12,Delayed,Weather,1218,70,13,Rain,36,5144,31,Low,0,0,1,11,Monitor
24,12952,Jan Shatabdi,KOTA,Kota Junction,GKP,Gorakhpur,2026-03-22,02:30,35,At Risk,Platform Change,1789,90,11,Clear,28,7538,43,Medium,1,1,1,36,Notify station control
25,12297,Vande Bharat,PNBE,Patna Junction,LKO,Lucknow Charbagh,2026-07-08,04:00,25,Delayed,Weather,230,100,3,Heavy Rain,28,7090,56,Medium,0,1,1,26,Notify station control
26,12723,Jan Shatabdi,HWH,Howrah Junction,VSKP,Visakhapatnam,2026-09-15,05:45,25,Delayed,Track Obstruction,1114,88,5,Heatwave,39,7912,41,Medium,1,0,1,30,Notify station control
27,12782,Garib Rath,VSKP,Visakhapatnam,ADI,Ahmedabad Junction,2026-03-08,12:15,120,At Risk,Weather,1080,86,9,Cloudy,24,5538,75,High,0,0,1,117,Reallocate platform and crew
28,14053,Superfast,SBC,KSR Bengaluru City,CSTM,Mumbai CSMT,2026-06-10,12:45,75,Delayed,Platform Change,977,81,1,Clear,41,9732,55,Medium,0,0,1,85,Notify station control
29,14629,Express,ALD,Prayagraj Junction,GKP,Gorakhpur,2026-07-19,18:00,0,On Time,No Delay,239,58,13,Clear,37,3004,26,Low,0,0,0,9,Monitor
30,12460,Duronto,CSTM,Mumbai CSMT,VSKP,Visakhapatnam,2026-05-27,02:45,0,On Time,No Delay,613,90,15,Clear,24,5829,33,Low,0,1,1,7,Monitor
31,12145,Vande Bharat,NDLS,New Delhi,GKP,Gorakhpur,2026-08-23,08:30,8,Delayed,Crew Delay,588,87,8,Rain,18,8058,34,Low,1,0,0,6,Monitor
32,12540,Shatabdi,MAS,Chennai Central,HWH,Howrah Junction,2026-02-26,18:00,35,Delayed,Platform Change,992,58,7,Cloudy,16,10000,37,Low,0,0,0,37,Monitor
33,14085,Superfast,CNB,Kanpur Central,GKP,Gorakhpur,2026-03-24,16:30,0,On Time,No Delay,205,92,4,Cloudy,27,6234,32,Low,0,1,1,9,Monitor
34,14260,Intercity,KOTA,Kota Junction,ALD,Prayagraj Junction,2026-06-01,15:30,30,At Risk,Crew Delay,357,53,9,Clear,42,7685,30,Low,1,0,1,39,Monitor
35,12646,Garib Rath,MAS,Chennai Central,PNBE,Patna Junction,2026-09-25,07:45,0,On Time,No Delay,1616,89,17,Fog,44,275,38,Low,0,1,1,2,Monitor
36,12012,Garib Rath,BBS,Bhubaneswar,VSKP,Visakhapatnam,2026-06-23,14:30,0,On Time,No Delay,807,62,12,Rain,29,9368,24,Low,0,0,0,6,Monitor
37,12716,Vande Bharat,JP,Jaipur Junction,ADI,Ahmedabad Junction,2026-05-08,11:15,0,On Time,No Delay,1740,72,16,Rain,22,9959,28,Low,0,1,0,4,Monitor
38,14417,Garib Rath,JP,Jaipur Junction,NDLS,New Delhi,2026-08-16,14:30,0,On Time,No Delay,778,66,5,Clear,34,8342,21,Low,1,0,0,0,Monitor
39,12862,Shatabdi,MAS,Chennai Central,BCT,Mumbai Central,2026-04-25,16:45,60,At Risk,Signal Failure,490,87,10,Cloudy,16,4366,49,Medium,1,0,1,68,Notify station control
40,12976,Intercity,VSKP,Visakhapatnam,BBS,Bhubaneswar,2026-03-08,05:00,0,On Time,No Delay,1428,91,4,Cloudy,44,3704,32,Low,0,1,0,1,Monitor
41,14058,Sampark Kranti,MAS,Chennai Central,NDLS,New Delhi,2026-09-08,20:15,8,Delayed,Weather,1619,79,8,Clear,43,4634,34,Low,0,1,0,9,Monitor
42,12208,Duronto,ADI,Ahmedabad Junction,SDAH,Sealdah,2026-01-14,23:30,35,At Risk,Maintenance Work,1590,71,10,Clear,36,6894,37,Low,1,1,0,45,Monitor
43,12012,Vande Bharat,KOTA,Kota Junction,ADI,Ahmedabad Junction,2026-05-06,18:45,0,Completed,No Delay,1358,73,9,Fog,32,121,41,Medium,0,0,1,0,Notify station control
44,14245,Intercity,BBS,Bhubaneswar,CSTM,Mumbai CSMT,2026-08-03,10:30,0,On Time,No Delay,509,74,11,Rain,27,8417,24,Low,1,0,0,7,Monitor
45,13266,Rajdhani,LKO,Lucknow Charbagh,HWH,Howrah Junction,2026-03-10,14:45,90,Delayed,Crew Delay,1241,59,15,Clear,38,1145,54,Medium,1,0,1,93,Notify station control
46,14631,Duronto,HWH,Howrah Junction,NDLS,New Delhi,2026-05-17,22:30,0,On Time,No Delay,1015,95,3,Clear,21,2158,31,Low,0,1,1,0,Monitor
47,14232,Express,NGP,Nagpur Junction,PNBE,Patna Junction,2026-05-24,09:45,60,Delayed,Late Incoming Train,1708,97,9,Clear,38,7098,53,Medium,0,1,1,63,Notify station control
